customer_id,signup_date,region,acquisition_channel
10075,2023-01-18,North West,Social
10076,2023-01-18,South East,Referral
10077,2023-01-25,South East,Organic Search
10078,2023-01-16,East,Email
10079,2023-01-02,North West,Organic Search
10080,2023-01-13,Yorkshire,Email
10081,2023-01-15,Yorkshire,Social
10082,2023-01-24,Wales,Paid Search
10083,2023-01-23,East,Organic Search
10084,2023-01-07,Scotland,Social
10085,2023-01-18,North East,Organic Search
10086,2023-01-02,London,Paid Search
10087,2023-01-28,East,Organic Search
10088,2023-01-17,North West,Organic Search
10089,2023-01-20,North East,Email
10090,2023-01-13,North West,Referral
10091,2023-01-08,London,Organic Search
10092,2023-01-03,Midlands,Social
10093,2023-02-17,Yorkshire,Organic Search
10094,2023-02-22,London,Organic Search
10095,2023-02-13,North West,Social
10096,2023-02-15,Yorkshire,Email
10097,2023-02-03,North East,Social
10098,2023-02-19,Wales,Organic Search
10099,2023-02-07,East,Organic Search
10100,2023-02-12,South West,Email
10101,2023-02-12,Yorkshire,Paid Search
10102,2023-02-18,London,Social
10103,2023-02-26,London,Organic Search
10104,2023-02-27,East,Referral
10105,2023-02-04,South West,Organic Search
10106,2023-02-04,South West,Email
10107,2023-02-05,Yorkshire,Social
10108,2023-02-23,Midlands,Social
10109,2023-02-28,Yorkshire,Paid Search
10110,2023-02-28,North East,Social
10111,2023-02-27,Yorkshire,Organic Search
10112,2023-02-25,North West,Referral
10113,2023-02-06,London,Paid Search
10114,2023-02-14,East,Organic Search
10115,2023-02-23,South West,Paid Search
10116,2023-02-27,Midlands,Paid Search
10117,2023-02-14,North West,Organic Search
10118,2023-02-26,Scotland,Organic Search
10119,2023-02-12,North West,Organic Search
10120,2023-02-04,Midlands,Paid Search
10121,2023-02-28,Midlands,Social
10122,2023-02-05,South West,Organic Search
10123,2023-02-06,Scotland,Email
10124,2023-02-14,North East,Social
10125,2023-02-11,South East,Paid Search
10126,2023-02-22,South East,Email
10127,2023-02-09,North West,Social
10128,2023-02-13,South East,Email
10129,2023-02-08,North West,Referral
10130,2023-02-12,Yorkshire,Email
10131,2023-02-08,Yorkshire,Social
10132,2023-02-13,Yorkshire,Email
10133,2023-02-25,Yorkshire,Social
10134,2023-02-13,London,Email
10135,2023-02-11,South West,Organic Search
10136,2023-02-09,North West,Referral
10137,2023-02-09,North East,Social
10138,2023-02-12,London,Organic Search
10139,2023-02-20,Scotland,Organic Search
10140,2023-02-19,North West,Organic Search
10141,2023-02-14,North East,Referral
10142,2023-02-18,London,Referral
10143,2023-02-24,London,Paid Search
10144,2023-02-03,South West,Referral
10145,2023-02-20,Yorkshire,Email
10146,2023-02-24,South West,Paid Search
10147,2023-02-22,Midlands,Paid Search
10148,2023-02-10,East,Organic Search
10149,2023-02-22,South West,Social
10150,2023-02-06,London,Organic Search
10151,2023-02-18,South East,Organic Search
10152,2023-02-07,Midlands,Social
10153,2023-02-21,Yorkshire,Paid Search
10154,2023-02-22,North West,Paid Search
10155,2023-02-26,London,Social
10156,2023-02-10,East,Social
10157,2023-02-11,North West,Referral
10158,2023-02-08,London,Organic Search
10159,2023-02-07,North West,Organic Search
10160,2023-02-16,London,Email
10161,2023-02-15,Midlands,Social
10162,2023-02-07,London,Paid Search
10163,2023-02-13,Yorkshire,Social
10164,2023-02-01,South West,Email
10165,2023-02-04,South East,Organic Search
10166,2023-02-26,Scotland,Paid Search
10167,2023-02-02,East,Referral
10168,2023-02-04,Midlands,Email
10169,2023-02-22,East,Paid Search
10170,2023-02-11,Scotland,Referral
10171,2023-02-20,South East,Referral
10172,2023-02-14,South East,Paid Search
10173,2023-02-06,London,Paid Search
10174,2023-02-09,South East,Email
10175,2023-02-09,South East,Paid Search
10176,2023-03-21,Yorkshire,Paid Search
10177,2023-03-23,Yorkshire,Organic Search
10178,2023-03-11,South West,Organic Search
10179,2023-03-05,Yorkshire,Social
10180,2023-03-23,North West,Paid Search
10181,2023-03-11,East,Paid Search
10182,2023-03-07,South East,Paid Search
10183,2023-03-25,London,Social
10184,2023-03-28,South West,Social
10185,2023-03-16,North East,Paid Search
10186,2023-03-25,Midlands,Referral
10187,2023-03-27,Midlands,Email
10188,2023-03-18,South East,Referral
10189,2023-03-16,North West,Paid Search
10190,2023-03-01,Midlands,Social
10191,2023-03-26,Midlands,Organic Search
10192,2023-03-15,South West,Referral
10193,2023-03-18,North East,Paid Search
10194,2023-03-19,London,Organic Search
10195,2023-03-14,North West,Paid Search
10196,2023-03-02,Yorkshire,Organic Search
10197,2023-03-15,Yorkshire,Email
10198,2023-03-13,Yorkshire,Referral
10199,2023-03-14,Yorkshire,Organic Search
10200,2023-03-01,London,Organic Search
10201,2023-03-12,Yorkshire,Organic Search
10202,2023-03-21,North East,Organic Search
10203,2023-03-08,North West,Organic Search
10204,2023-03-05,Yorkshire,Paid Search
10205,2023-03-04,East,Organic Search
10206,2023-03-23,Yorkshire,Paid Search
10207,2023-03-20,London,Email
10208,2023-03-04,South East,Organic Search
10209,2023-03-10,North West,Organic Search
10210,2023-03-10,London,Referral
10211,2023-03-13,Midlands,Social
10212,2023-03-03,London,Email
10213,2023-03-08,North West,Email
10214,2023-03-28,London,Email
10215,2023-03-26,Scotland,Email
10216,2023-03-12,East,Social
10217,2023-03-03,East,Paid Search
10218,2023-03-28,Midlands,Paid Search
10219,2023-03-14,Scotland,Social
10220,2023-03-27,Midlands,Organic Search
10221,2023-03-06,London,Referral
10222,2023-03-09,London,Referral
10223,2023-03-25,East,Paid Search
10224,2023-03-24,London,Organic Search
10225,2023-03-08,South East,Organic Search
10226,2023-03-15,Yorkshire,Paid Search
10227,2023-03-20,London,Organic Search
10228,2023-03-16,South East,Organic Search
10229,2023-03-07,Midlands,Organic Search
10230,2023-03-09,South West,Social
10231,2023-03-09,East,Paid Search
10232,2023-03-07,North West,Social
10233,2023-03-16,East,Organic Search
10234,2023-03-16,London,Paid Search
10235,2023-03-26,North East,Organic Search
10236,2023-03-13,London,Organic Search
10237,2023-03-19,Midlands,Paid Search
10238,2023-03-12,Midlands,Email
10239,2023-03-11,Midlands,Paid Search
10240,2023-03-10,Yorkshire,Organic Search
10241,2023-03-07,Yorkshire,Email
10242,2023-03-25,London,Organic Search
10243,2023-03-24,East,Social
10244,2023-03-25,East,Organic Search
10245,2023-03-04,South East,Organic Search
10246,2023-03-12,North West,Organic Search
10247,2023-03-18,North West,Organic Search
10248,2023-03-02,East,Social
10249,2023-03-05,London,Email
10250,2023-03-04,South East,Social
10251,2023-03-16,Midlands,Paid Search
10252,2023-03-02,Yorkshire,Email
10253,2023-03-04,South East,Paid Search
10254,2023-03-03,London,Social
10255,2023-03-05,North West,Social
10256,2023-03-10,North West,Organic Search
10257,2023-03-18,South East,Social
10258,2023-03-26,London,Email
10259,2023-03-13,Midlands,Paid Search
10260,2023-03-28,London,Paid Search
10261,2023-03-19,London,Social
10262,2023-03-24,North West,Email
10263,2023-03-21,North West,Social
10264,2023-03-06,Yorkshire,Paid Search
10265,2023-03-06,North East,Paid Search
10266,2023-03-20,Midlands,Organic Search
10267,2023-03-10,London,Social
10268,2023-03-15,North East,Organic Search
10269,2023-03-09,South East,Social
10270,2023-03-22,South East,Organic Search
10271,2023-04-04,East,Social
10272,2023-04-09,South East,Organic Search
10273,2023-04-06,South East,Social
10274,2023-04-27,East,Organic Search
10275,2023-04-04,Midlands,Organic Search
10276,2023-04-13,South West,Paid Search
10277,2023-04-16,Midlands,Social
10278,2023-04-14,London,Social
10279,2023-04-01,North West,Referral
10280,2023-04-27,South East,Social
10281,2023-04-01,Wales,Social
10282,2023-04-09,London,Email
10283,2023-04-06,Midlands,Social
10284,2023-04-09,North West,Social
10285,2023-04-21,South East,Referral
10286,2023-04-16,Midlands,Organic Search
10287,2023-04-22,North West,Organic Search
10288,2023-04-14,London,Organic Search
10289,2023-04-13,South East,Paid Search
10290,2023-04-15,North West,Organic Search
10291,2023-04-04,Scotland,Paid Search
10292,2023-04-17,South East,Organic Search
10293,2023-04-28,East,Paid Search
10294,2023-04-07,East,Social
10295,2023-04-16,London,Email
10296,2023-04-07,Yorkshire,Organic Search
10297,2023-04-10,Midlands,Social
10298,2023-04-04,North East,Social
10299,2023-04-26,Yorkshire,Organic Search
10300,2023-04-18,North East,Paid Search
10301,2023-04-08,Wales,Referral
10302,2023-04-15,South West,Social
10303,2023-04-05,East,Social
10304,2023-04-17,London,Paid Search
10305,2023-04-16,Scotland,Organic Search
10306,2023-04-18,North West,Organic Search
10307,2023-04-20,East,Email
10308,2023-04-28,North East,Email
10309,2023-04-28,Midlands,Referral
10310,2023-04-17,Yorkshire,Organic Search
10311,2023-04-24,Yorkshire,Social
10312,2023-04-22,East,Organic Search
10313,2023-04-18,East,Organic Search
10314,2023-04-25,East,Paid Search
10315,2023-04-11,South East,Referral
10316,2023-04-08,London,Organic Search
10317,2023-04-25,Midlands,Organic Search
10318,2023-04-16,London,Email
10319,2023-04-13,Scotland,Email
10320,2023-04-21,Scotland,Paid Search
10321,2023-04-02,North West,Referral
10322,2023-04-11,South East,Email
10323,2023-04-15,North West,Referral
10324,2023-04-01,London,Paid Search
10325,2023-04-21,Scotland,Organic Search
10326,2023-04-26,Scotland,Organic Search
10327,2023-04-23,Midlands,Organic Search
10328,2023-04-11,South East,Email
10329,2023-04-13,Scotland,Social
10330,2023-04-25,East,Paid Search
10331,2023-04-20,North East,Social
10332,2023-04-10,Wales,Email
10333,2023-04-14,Scotland,Email
10334,2023-04-23,South East,Paid Search
10335,2023-04-23,Yorkshire,Organic Search
10336,2023-04-11,South East,Organic Search
10337,2023-04-12,Midlands,Organic Search
10338,2023-04-14,East,Email
10339,2023-04-06,North West,Social
10340,2023-04-13,London,Organic Search
10341,2023-04-19,North West,Paid Search
10342,2023-04-09,Midlands,Social
10343,2023-04-26,Midlands,Organic Search
10344,2023-04-18,North West,Paid Search
10345,2023-04-12,Scotland,Organic Search
10346,2023-04-14,London,Paid Search
10347,2023-04-10,North West,Paid Search
10348,2023-04-16,North West,Paid Search
10349,2023-04-12,London,Referral
10350,2023-04-10,North East,Email
10351,2023-04-13,Yorkshire,Social
10352,2023-04-22,South East,Referral
10353,2023-04-20,London,Email
10354,2023-04-10,South East,Organic Search
10355,2023-04-26,Midlands,Social
10356,2023-04-20,Yorkshire,Email
10357,2023-04-25,London,Email
10358,2023-04-21,North West,Social
10359,2023-04-02,Yorkshire,Paid Search
10360,2023-04-19,Midlands,Organic Search
10361,2023-04-10,Yorkshire,Paid Search
10362,2023-04-07,North West,Paid Search
10363,2023-05-12,East,Referral
10364,2023-05-27,North West,Referral
10365,2023-05-16,Scotland,Organic Search
10366,2023-05-28,Midlands,Organic Search
10367,2023-05-03,North West,Referral
10368,2023-05-28,London,Social
10369,2023-05-13,Scotland,Email
10370,2023-05-12,North West,Paid Search
10371,2023-05-09,East,Paid Search
10372,2023-05-22,London,Organic Search
10373,2023-05-13,South East,Referral
10374,2023-05-04,London,Paid Search
10375,2023-05-20,South West,Social
10376,2023-05-20,Yorkshire,Organic Search
10377,2023-05-27,Midlands,Social
10378,2023-05-21,Midlands,Organic Search
10379,2023-05-02,Yorkshire,Paid Search
10380,2023-05-04,Yorkshire,Paid Search
10381,2023-05-13,Midlands,Social
10382,2023-05-24,London,Paid Search
10383,2023-05-19,London,Organic Search
10384,2023-05-14,London,Email
10385,2023-05-20,Midlands,Referral
10386,2023-05-02,London,Organic Search
10387,2023-05-15,Scotland,Email
10388,2023-05-04,Scotland,Paid Search
10389,2023-05-21,Midlands,Paid Search
10390,2023-05-07,Scotland,Referral
10391,2023-05-27,Midlands,Social
10392,2023-05-21,London,Referral
10393,2023-05-02,South East,Organic Search
10394,2023-05-05,South East,Organic Search
10395,2023-05-27,South East,Organic Search
10396,2023-05-07,South East,Organic Search
10397,2023-05-25,North West,Referral
10398,2023-05-01,Yorkshire,Referral
10399,2023-05-05,East,Email
10400,2023-05-04,London,Organic Search
10401,2023-05-01,Midlands,Email
10402,2023-05-19,Yorkshire,Organic Search
10403,2023-05-02,North West,Paid Search
10404,2023-05-04,London,Paid Search
10405,2023-05-25,Midlands,Social
10406,2023-05-15,East,Referral
10407,2023-05-02,London,Referral
10408,2023-05-22,East,Paid Search
10409,2023-05-01,North East,Paid Search
10410,2023-05-13,Midlands,Organic Search
10411,2023-05-23,South West,Organic Search
10412,2023-05-03,Yorkshire,Organic Search
10413,2023-05-05,Yorkshire,Social
10414,2023-05-18,London,Paid Search
10415,2023-05-20,East,Paid Search
10416,2023-05-20,Midlands,Email
10417,2023-05-04,South East,Social
10418,2023-05-25,East,Email
10419,2023-05-14,Midlands,Organic Search
10420,2023-05-11,South East,Paid Search
10421,2023-05-24,North West,Paid Search
10422,2023-05-22,Yorkshire,Referral
10423,2023-05-22,South West,Organic Search
10424,2023-05-27,North West,Paid Search
10425,2023-05-24,London,Email
10426,2023-05-18,North East,Referral
10427,2023-05-18,Yorkshire,Organic Search
10428,2023-05-12,South East,Referral
10429,2023-05-14,South East,Social
10430,2023-05-10,London,Paid Search
10431,2023-05-19,East,Organic Search
10432,2023-05-16,Yorkshire,Organic Search
10433,2023-05-28,East,Organic Search
10434,2023-05-09,London,Email
10435,2023-05-28,East,Email
10436,2023-05-20,London,Social
10437,2023-05-01,London,Social
10438,2023-05-23,Yorkshire,Organic Search
10439,2023-05-23,South East,Referral
10440,2023-05-12,North East,Email
10441,2023-05-19,London,Organic Search
10442,2023-05-24,London,Organic Search
10443,2023-05-24,East,Paid Search
10444,2023-05-15,Midlands,Paid Search
10445,2023-05-24,Yorkshire,Referral
10446,2023-05-20,North West,Organic Search
10447,2023-05-06,South East,Organic Search
10448,2023-05-03,Yorkshire,Social
10449,2023-05-16,London,Paid Search
10450,2023-05-07,South East,Organic Search
10451,2023-05-14,North West,Social
10452,2023-05-19,East,Social
10453,2023-05-02,Yorkshire,Referral
10454,2023-05-02,North East,Organic Search
10455,2023-05-07,South East,Email
10456,2023-05-10,Yorkshire,Organic Search
10457,2023-05-24,Midlands,Organic Search
10458,2023-05-18,London,Paid Search
10459,2023-05-27,London,Paid Search
10460,2023-05-13,South East,Organic Search
10461,2023-05-01,Midlands,Organic Search
10462,2023-05-11,London,Social
10463,2023-05-23,London,Organic Search
10464,2023-05-13,North East,Organic Search
10465,2023-05-26,South West,Paid Search
10466,2023-05-23,South West,Organic Search
10467,2023-06-28,North West,Paid Search
10468,2023-06-13,East,Paid Search
10469,2023-06-10,London,Organic Search
10470,2023-06-25,North West,Paid Search
10471,2023-06-04,East,Organic Search
10472,2023-06-25,Midlands,Social
10473,2023-06-27,London,Organic Search
10474,2023-06-04,North West,Organic Search
10475,2023-06-20,North West,Email
10476,2023-06-03,North West,Email
10477,2023-06-16,Midlands,Social
10478,2023-06-19,Midlands,Referral
10479,2023-06-19,London,Referral
10480,2023-06-11,South East,Social
10481,2023-06-05,Midlands,Paid Search
10482,2023-06-21,Yorkshire,Organic Search
10483,2023-06-02,Midlands,Organic Search
10484,2023-06-15,Midlands,Organic Search
10485,2023-06-27,Yorkshire,Social
10486,2023-06-28,North West,Social
10487,2023-06-13,Midlands,Paid Search
10488,2023-06-26,London,Organic Search
10489,2023-06-26,London,Organic Search
10490,2023-06-20,Midlands,Organic Search
10491,2023-06-02,Midlands,Email
10492,2023-06-27,Midlands,Social
10493,2023-06-17,London,Organic Search
10494,2023-06-23,Midlands,Paid Search
10495,2023-06-17,London,Paid Search
10496,2023-06-10,Midlands,Email
10497,2023-06-22,London,Email
10498,2023-06-21,Midlands,Organic Search
10499,2023-06-18,London,Organic Search
10500,2023-06-24,South East,Referral
10501,2023-06-20,South East,Organic Search
10502,2023-06-19,London,Referral
10503,2023-06-10,Scotland,Social
10504,2023-06-13,North West,Social
10505,2023-06-03,Yorkshire,Paid Search
10506,2023-06-26,Yorkshire,Organic Search
10507,2023-06-23,South East,Social
10508,2023-06-22,South West,Organic Search
10509,2023-06-22,Midlands,Paid Search
10510,2023-06-12,Yorkshire,Referral
10511,2023-06-11,South West,Paid Search
10512,2023-06-08,Wales,Organic Search
10513,2023-06-10,South East,Organic Search
10514,2023-06-25,East,Social
10515,2023-06-17,North East,Organic Search
10516,2023-06-25,London,Social
10517,2023-06-05,North West,Email
10518,2023-06-25,London,Referral
10519,2023-06-24,Midlands,Paid Search
10520,2023-06-22,London,Referral
10521,2023-06-20,Yorkshire,Email
10522,2023-06-15,Yorkshire,Organic Search
10523,2023-06-26,South East,Referral
10524,2023-06-07,Midlands,Referral
10525,2023-06-15,Midlands,Organic Search
10526,2023-06-13,East,Paid Search
10527,2023-06-06,South East,Email
10528,2023-06-05,South East,Organic Search
10529,2023-06-16,South East,Paid Search
10530,2023-06-04,London,Paid Search
10531,2023-06-04,Yorkshire,Email
10532,2023-06-09,Midlands,Paid Search
10533,2023-06-27,Midlands,Referral
10534,2023-06-08,South East,Referral
10535,2023-06-01,Midlands,Paid Search
10536,2023-06-12,Yorkshire,Referral
10537,2023-06-12,Yorkshire,Organic Search
10538,2023-06-04,South East,Social
10539,2023-06-26,North West,Organic Search
10540,2023-06-27,Midlands,Email
10541,2023-06-25,London,Paid Search
10542,2023-06-01,South West,Organic Search
10543,2023-06-07,South East,Paid Search
10544,2023-06-24,London,Paid Search
10545,2023-06-25,Yorkshire,Organic Search
10546,2023-06-02,Yorkshire,Social
10547,2023-06-20,Midlands,Organic Search
10548,2023-06-16,London,Organic Search
10549,2023-06-17,London,Social
10550,2023-06-10,Midlands,Social
10551,2023-06-08,London,Organic Search
10552,2023-06-22,North West,Referral
10553,2023-06-03,Scotland,Paid Search
10554,2023-06-26,Scotland,Paid Search
10555,2023-06-13,South East,Organic Search
10556,2023-06-13,Scotland,Organic Search
10557,2023-06-01,Midlands,Organic Search
10558,2023-06-08,London,Social
10559,2023-06-25,London,Email
10560,2023-06-05,North East,Paid Search
10561,2023-06-27,London,Email
10562,2023-06-22,Midlands,Social
10563,2023-06-21,North West,Organic Search
10564,2023-07-23,South East,Paid Search
10565,2023-07-10,North West,Email
10566,2023-07-02,Yorkshire,Organic Search
10567,2023-07-13,Scotland,Paid Search
10568,2023-07-09,North East,Social
10569,2023-07-10,Midlands,Email
10570,2023-07-28,London,Organic Search
10571,2023-07-26,Midlands,Referral
10572,2023-07-24,Midlands,Referral
10573,2023-07-11,Scotland,Paid Search
10574,2023-07-16,Midlands,Email
10575,2023-07-09,South East,Social
10576,2023-07-03,Midlands,Referral
10577,2023-07-06,East,Organic Search
10578,2023-07-03,Yorkshire,Organic Search
10579,2023-07-15,London,Paid Search
10580,2023-07-23,Midlands,Paid Search
10581,2023-07-24,South East,Paid Search
10582,2023-07-14,Yorkshire,Referral
10583,2023-07-02,North East,Social
10584,2023-07-12,East,Email
10585,2023-07-06,Scotland,Organic Search
10586,2023-07-20,London,Paid Search
10587,2023-07-05,North East,Email
10588,2023-07-12,Midlands,Referral
10589,2023-07-02,London,Social
10590,2023-07-12,Midlands,Email
10591,2023-07-19,North West,Paid Search
10592,2023-07-11,London,Organic Search
10593,2023-07-04,North East,Organic Search
10594,2023-07-17,Midlands,Social
10595,2023-07-09,South East,Social
10596,2023-07-07,Wales,Organic Search
10597,2023-07-16,North West,Organic Search
10598,2023-07-03,Midlands,Referral
10599,2023-07-15,Wales,Email
10600,2023-07-28,Scotland,Social
10601,2023-07-23,North East,Paid Search
10602,2023-07-10,South East,Social
10603,2023-07-23,London,Email
10604,2023-07-17,Yorkshire,Referral
10605,2023-07-26,North West,Email
10606,2023-07-01,Midlands,Social
10607,2023-07-15,South East,Paid Search
10608,2023-07-20,South West,Organic Search
10609,2023-07-13,Wales,Social
10610,2023-07-17,Midlands,Paid Search
10611,2023-07-19,North East,Referral
10612,2023-07-21,North East,Paid Search
10613,2023-07-17,Midlands,Email
10614,2023-07-25,East,Social
10615,2023-07-25,Scotland,Paid Search
10616,2023-07-28,North East,Organic Search
10617,2023-07-05,Yorkshire,Organic Search
10618,2023-07-23,Yorkshire,Referral
10619,2023-07-17,South West,Email
10620,2023-07-09,North West,Referral
10621,2023-07-09,North West,Organic Search
10622,2023-07-18,North West,Social
10623,2023-07-19,South West,Organic Search
10624,2023-07-22,London,Referral
10625,2023-07-11,South East,Social
10626,2023-07-27,South East,Organic Search
10627,2023-07-21,South East,Organic Search
10628,2023-07-07,South East,Paid Search
10629,2023-07-21,North East,Referral
10630,2023-07-18,Yorkshire,Referral
10631,2023-07-16,Yorkshire,Email
10632,2023-07-13,Yorkshire,Organic Search
10633,2023-07-02,North West,Paid Search
10634,2023-07-15,North West,Social
10635,2023-07-11,South East,Organic Search
10636,2023-07-28,Midlands,Paid Search
10637,2023-07-25,Midlands,Social
10638,2023-07-11,Yorkshire,Organic Search
10639,2023-07-15,Yorkshire,Organic Search
10640,2023-07-10,South West,Email
10641,2023-07-14,Yorkshire,Email
10642,2023-07-06,South East,Referral
10643,2023-07-24,Yorkshire,Email
10644,2023-07-16,Wales,Paid Search
10645,2023-07-10,East,Organic Search
10646,2023-07-13,East,Referral
10647,2023-07-07,London,Organic Search
10648,2023-07-10,East,Referral
10649,2023-07-21,London,Organic Search
10650,2023-07-01,South East,Paid Search
10651,2023-07-09,London,Email
10652,2023-07-12,North East,Organic Search
10653,2023-07-18,North West,Paid Search
10654,2023-07-03,Midlands,Paid Search
10655,2023-07-18,Yorkshire,Referral
10656,2023-07-22,London,Organic Search
10657,2023-07-04,Midlands,Email
10658,2023-07-11,East,Paid Search
10659,2023-07-05,North West,Paid Search
10660,2023-07-17,North East,Organic Search
10661,2023-07-23,Midlands,Paid Search
10662,2023-07-15,North West,Referral
10663,2023-07-05,Yorkshire,Social
10664,2023-07-06,Midlands,Social
10665,2023-07-27,Yorkshire,Organic Search
10666,2023-07-27,East,Paid Search
10667,2023-07-19,Yorkshire,Email
10668,2023-07-12,Midlands,Organic Search
10669,2023-07-14,London,Email
10670,2023-07-24,South East,Social
10671,2023-07-20,Midlands,Referral
10672,2023-07-26,Scotland,Social
10673,2023-07-08,London,Social
10674,2023-07-06,East,Social
10675,2023-08-25,South East,Organic Search
10676,2023-08-22,Yorkshire,Social
10677,2023-08-23,North West,Organic Search
10678,2023-08-11,Midlands,Paid Search
10679,2023-08-07,Midlands,Email
10680,2023-08-16,South East,Social
10681,2023-08-02,London,Paid Search
10682,2023-08-18,Yorkshire,Social
10683,2023-08-17,Midlands,Referral
10684,2023-08-15,South West,Paid Search
10685,2023-08-12,London,Email
10686,2023-08-22,London,Social
10687,2023-08-20,East,Referral
10688,2023-08-09,East,Organic Search
10689,2023-08-10,South East,Social
10690,2023-08-23,London,Organic Search
10691,2023-08-12,East,Referral
10692,2023-08-24,Yorkshire,Organic Search
10693,2023-08-22,East,Referral
10694,2023-08-13,South East,Referral
10695,2023-08-26,North West,Organic Search
10696,2023-08-23,North East,Referral
10697,2023-08-21,Yorkshire,Paid Search
10698,2023-08-07,South East,Organic Search
10699,2023-08-18,London,Organic Search
10700,2023-08-20,London,Organic Search
10701,2023-08-02,London,Paid Search
10702,2023-08-21,Yorkshire,Organic Search
10703,2023-08-11,London,Organic Search
10704,2023-08-25,North West,Referral
10705,2023-08-06,Midlands,Referral
10706,2023-08-16,Midlands,Organic Search
10707,2023-08-10,Yorkshire,Social
10708,2023-08-25,North West,Social
10709,2023-08-18,London,Email
10710,2023-08-02,South West,Organic Search
10711,2023-08-27,North West,Referral
10712,2023-08-27,Midlands,Paid Search
10713,2023-08-24,Scotland,Referral
10714,2023-08-02,North East,Social
10715,2023-08-04,South West,Organic Search
10716,2023-08-15,Scotland,Paid Search
10717,2023-08-16,South West,Organic Search
10718,2023-08-17,Midlands,Organic Search
10719,2023-08-04,Midlands,Social
10720,2023-08-21,Yorkshire,Organic Search
10721,2023-08-24,Midlands,Organic Search
10722,2023-08-22,South East,Organic Search
10723,2023-08-28,London,Paid Search
10724,2023-08-14,East,Organic Search
10725,2023-08-22,North West,Referral
10726,2023-08-16,Yorkshire,Organic Search
10727,2023-08-09,Midlands,Paid Search
10728,2023-08-09,Scotland,Organic Search
10729,2023-08-24,London,Organic Search
10730,2023-08-12,London,Organic Search
10731,2023-08-04,Midlands,Organic Search
10732,2023-08-22,East,Referral
10733,2023-08-23,South East,Social
10734,2023-08-21,South West,Organic Search
10735,2023-08-20,Yorkshire,Referral
10736,2023-08-16,North West,Email
10737,2023-08-20,Midlands,Social
10738,2023-08-16,South East,Email
10739,2023-08-27,North West,Organic Search
10740,2023-08-25,London,Email
10741,2023-08-17,Midlands,Social
10742,2023-08-03,South West,Organic Search
10743,2023-08-27,East,Paid Search
10744,2023-08-19,East,Organic Search
10745,2023-08-28,East,Organic Search
10746,2023-08-07,London,Paid Search
10747,2023-08-17,Midlands,Organic Search
10748,2023-08-05,East,Paid Search
10749,2023-08-02,East,Social
10750,2023-08-10,London,Paid Search
10751,2023-08-27,North East,Organic Search
10752,2023-08-03,North East,Paid Search
10753,2023-08-03,East,Organic Search
10754,2023-08-03,Scotland,Paid Search
10755,2023-08-10,Midlands,Email
